age_at_enrollment,course,tuition_fee_status,semester_performance,attendance_rate,num_failed_courses,financial_aid,dropped_out
23,engineering,partial,0.66,0.94,2,1,0
20,business,unpaid,0.74,0.73,2,1,0
29,engineering,paid,0.56,0.76,0,1,0
27,business,paid,0.76,0.93,2,0,1
24,engineering,partial,0.72,0.98,1,1,0
29,business,paid,0.82,0.85,1,0,0
21,business,paid,0.57,0.75,0,0,0
23,science,partial,0.64,0.82,0,1,0
26,business,unpaid,0.92,1.0,0,1,0
19,business,partial,0.56,0.72,0,0,0
23,business,partial,0.49,0.9,0,1,0
27,engineering,paid,0.61,0.86,0,0,0
27,business,paid,0.43,0.73,0,0,0
24,engineering,partial,0.95,0.82,1,1,0
21,law,paid,0.66,0.67,0,0,0
20,engineering,unpaid,0.66,0.88,1,0,0
24,arts,paid,0.81,0.89,0,0,0
24,business,paid,0.59,0.71,1,0,0
19,arts,paid,0.67,0.91,0,0,0
22,engineering,unpaid,0.59,0.78,1,0,1
21,business,paid,0.44,0.77,1,1,0
18,business,paid,0.71,0.75,1,0,0
24,science,paid,0.85,0.92,0,0,0
28,arts,unpaid,0.71,0.68,0,1,0
22,business,paid,0.84,0.69,1,0,0
18,arts,paid,0.54,0.79,0,0,1
28,business,paid,0.59,0.79,0,0,0
21,business,partial,0.51,0.91,0,0,1
17,business,paid,0.75,0.84,0,1,1
28,engineering,paid,0.65,0.84,0,0,1
26,engineering,paid,0.65,0.69,0,0,0
22,engineering,partial,0.8,0.83,1,0,0
29,engineering,partial,0.63,0.61,0,0,0
28,arts,partial,0.86,0.87,2,1,0
25,business,unpaid,0.74,0.92,0,0,0
17,engineering,unpaid,0.65,0.77,0,0,1
27,law,paid,0.47,0.89,1,1,1
27,engineering,partial,0.8,0.81,0,0,0
26,science,partial,0.74,0.97,1,1,0
28,business,unpaid,0.75,0.87,1,0,0
28,arts,paid,0.75,0.75,0,0,0
19,engineering,partial,0.62,0.97,0,0,0
28,business,paid,0.68,0.93,0,1,1
23,arts,unpaid,0.63,0.81,1,1,1
20,law,paid,0.89,0.9,1,1,1
25,business,paid,0.66,0.9,1,0,0
19,law,paid,0.61,0.81,0,0,0
21,engineering,paid,0.9,0.86,0,0,0
19,science,partial,0.88,0.87,1,1,1
23,business,paid,0.74,0.78,0,0,1
21,science,paid,0.68,0.98,1,0,0
25,engineering,unpaid,0.64,0.65,0,0,1
23,business,paid,0.69,0.92,0,0,0
18,arts,partial,0.57,0.73,1,0,1
20,science,paid,0.77,0.83,0,0,0
25,arts,paid,0.95,0.69,3,0,0
28,science,unpaid,0.78,0.72,1,0,1
18,engineering,partial,0.53,0.84,1,1,0
26,science,paid,0.77,0.86,1,0,1
25,science,unpaid,0.73,0.96,0,1,0
26,science,unpaid,0.77,0.81,1,1,1
21,business,unpaid,0.58,0.91,0,0,0
18,arts,paid,0.7,0.85,0,0,0
20,law,paid,0.83,0.91,1,0,1
28,engineering,partial,0.54,0.74,1,0,0
28,business,partial,0.63,0.86,1,0,1
23,business,paid,0.66,0.89,1,0,1
28,science,partial,0.85,0.8,0,0,0
29,engineering,paid,0.87,0.89,2,0,0
24,business,paid,0.41,0.9,0,0,0
19,science,paid,0.85,0.8,2,1,0
17,engineering,partial,0.88,0.93,0,0,0
20,law,paid,0.87,0.62,0,0,1
18,engineering,unpaid,0.62,0.66,1,0,0
24,arts,partial,0.67,0.75,4,0,1
20,engineering,partial,0.46,0.88,0,0,1
18,engineering,unpaid,0.39,0.77,1,0,0
22,law,partial,0.65,0.72,0,0,0
22,arts,unpaid,0.71,0.84,0,0,1
26,arts,paid,0.73,0.86,2,0,0
20,engineering,paid,0.82,0.79,0,0,0
22,business,paid,1.0,0.73,0,1,0
29,business,paid,0.64,0.85,1,0,0
18,arts,unpaid,0.54,0.93,3,0,1
26,arts,paid,0.78,0.73,2,0,0
28,science,partial,0.73,1.0,0,0,0
18,arts,partial,0.61,0.79,1,0,0
26,arts,partial,0.84,0.79,0,0,0
20,engineering,paid,0.58,0.86,2,1,1
24,science,partial,0.68,0.86,0,0,0
23,arts,paid,0.69,0.63,0,0,1
28,business,paid,0.56,0.84,0,0,0
25,engineering,partial,0.44,0.91,1,0,0
24,law,partial,0.73,0.95,1,0,0
21,engineering,paid,0.91,0.84,0,0,0
29,science,unpaid,0.84,0.81,1,1,0
18,arts,paid,0.85,0.92,0,0,0
21,engineering,paid,0.58,1.0,2,0,0
24,science,paid,0.73,0.86,0,1,0
26,arts,partial,0.49,0.83,0,1,1
25,science,partial,0.73,0.98,2,0,1
28,law,paid,0.91,0.74,0,1,0
28,science,paid,0.91,0.86,1,1,0
28,engineering,partial,1.0,1.0,4,1,0
29,science,paid,0.85,0.9,0,1,0
25,arts,paid,0.77,0.93,1,1,0
29,science,partial,0.83,0.82,0,0,0
29,business,paid,0.8,0.91,0,1,0
17,science,unpaid,0.58,0.97,0,0,0
25,arts,paid,0.47,0.7,0,0,1
23,business,partial,0.83,0.84,1,0,0
25,engineering,paid,1.0,0.88,0,1,0
24,science,unpaid,0.84,0.84,0,0,0
17,arts,paid,0.42,0.8,0,1,0
28,business,partial,0.62,0.99,1,0,1
24,science,partial,0.67,0.87,0,0,0
24,business,paid,0.42,0.78,0,0,1
27,engineering,paid,0.49,0.95,1,0,0
19,business,partial,0.69,0.99,0,1,0
17,arts,unpaid,0.74,0.96,0,0,0
24,arts,paid,0.55,0.81,0,0,1
19,engineering,paid,0.49,0.81,0,0,0
19,engineering,unpaid,0.88,0.75,1,1,0
17,engineering,paid,0.64,0.88,1,1,0
27,science,unpaid,0.66,0.96,0,0,0
21,engineering,partial,0.62,0.91,1,0,0
26,arts,partial,0.58,1.0,1,0,0
23,law,paid,0.9,0.66,1,0,0
26,engineering,paid,0.57,0.86,0,0,0
25,business,partial,0.73,0.93,0,1,0
28,science,unpaid,0.7,0.79,0,1,0
23,law,unpaid,0.41,0.74,0,0,0
25,science,paid,0.74,0.73,0,1,0
24,science,paid,0.47,0.86,0,0,1
28,science,paid,0.8,0.73,0,0,0
18,arts,unpaid,0.52,1.0,2,0,1
17,science,paid,0.78,0.9,1,0,0
23,engineering,paid,0.64,0.83,0,0,0
23,law,paid,0.6,0.84,0,0,0
24,arts,paid,0.73,0.96,1,1,0
21,business,unpaid,0.48,0.98,0,1,0
19,engineering,partial,0.69,0.76,1,0,0
28,science,paid,0.82,0.78,1,0,0
24,engineering,paid,0.86,0.81,1,0,0
22,science,paid,0.63,0.79,3,0,0
27,science,paid,0.65,0.67,1,1,0
19,engineering,paid,0.48,0.77,0,0,1
17,science,partial,0.59,0.78,1,0,0
19,science,paid,0.47,0.73,0,0,1
21,business,paid,0.77,0.89,0,1,0
19,arts,paid,0.83,0.84,0,0,0
17,engineering,partial,0.63,0.91,0,1,1
21,engineering,partial,0.54,0.75,0,0,1
26,arts,partial,0.75,0.91,0,0,0
23,law,partial,0.57,0.86,1,0,0
